type,tags,title,weight,detail,item#
feature,system,"Execute can now be configured to log system messages to Azure AppInsights.  This is primarily to streamline monitoring and support of Quorum-hosted Execute environments, but may also be used by on-prem customers if desired. ",,,312727
enhancement,admin,The admin-facing field selection screen has transitioned from the recently released drop-down tree control to the same control used in the report field selector.  The report selector version offers a better user experience and handles large numbers of fields more efficiently.,,,334455
enhancement,opsched,Updated the components used by the schedule printing functionality. ,,,338042
enhancement,"afe,admin",We've improved the behavior in Execute's new Approval Paths to better handle situations where multiple adjacent approvers have the same approval authority.   ,,,338680
bug,"afe,api",Resolved an issue where you could create invalid AFE history by manually calling the Supplement AFE API and failing to save the historical (supplemented) version of the AFE.  This only applied to those writing code against Execute's APIs to supplement AFEs. ,,,339273
bug,admin,"We've added the  ""Document Display Identifier"" back into the field list in Execute's custom business rules (Blockly). ",,,339421
enhancement,formula,"We've added a new formula function to create a new DateTime (`DateTime( ""2024-05-01"",  ""America/Edmonton"")`) and a new formula function to query if a workflow task is complete or hidden (i.e., needing attention or not). ",,,340773
bug,"system,admin","Resolved an issue where list filters wouldn't immediately clear an invalid value but would, instead, clear on save. ",,,341220
bug,admin,Resolved an issue where the FieldInfo report would show an error in the Field Type column for fields that had been deleted. ,,,341516
feature,"afe,admin",By popular demand... Execute now allows you to automatically release an AFE for approval after review is completed! ,,auto_release,341618
bug,admin,Resolved an issue where Custom Business rules failed to show custom fields on the AFE's well table. ,,,338359
feature,"admin,system","Foundation for Execute's new in-app update mechanism, which will allow an authorized user to upgrade to future releases from within Execute.",,,316299
feature,system,"Most Execute documents now support ""Shared Locks"".  This means multiple users can simultaneously edit the same document (Well, Job, or Site) and have their changes magically merged together.  This helps avoid those situations where you can't update your job with the latest spud date because Jim was busy updating the job's safety information and went for lunch leaving it locked.",,locks,327274
